dataset,title,year,venue_or_source,model_or_system,reported_results,source_url,normalized_pdf_url,local_pdf_path
truthfulqa,TruthfulQA: Measuring How Models Mimic Human Falsehoods,2022,ACL 2022 (Long Papers),"GPT-3 175B, GPT-J, GPT-2, T5","GPT-3: 20.44% (truthfulness), 97.55% (MC2); GPT-J 6B: 26.68%; T5-3B: 47.79%",https://aclanthology.org/2022.acl-long.229/,https://aclanthology.org/2022.acl-long.229.pdf,research/dataset_papers/pdfs/truthfulqa/2022_truthfulqa_measuring_how_models_mimic_human_falsehoods.pdf
truthfulqa,Quantized but Deceptive? A Multi-Dimensional Truthfulness Evaluation of Quantized LLMs,2025,EMNLP 2025 Main,Various quantized LLMs,Explicit MC1/MC2 results for quantized models,https://aclanthology.org/2025.emnlp-main.1548/,https://aclanthology.org/2025.emnlp-main.1548.pdf,research/dataset_papers/pdfs/truthfulqa/2025_quantized_but_deceptive_a_multi_dimensional_truthfulness_evaluation_of_quantized_llms.pdf
truthfulqa,Reducing Hallucinations in LLMs via Factuality-Aware Preference Learning,2026,arXiv,Qwen2.5-14B,"+17% MC1 (0.500→0.585), +49% MC2 (0.357→0.531)",https://arxiv.org/abs/2601.03027,https://arxiv.org/pdf/2601.03027,research/dataset_papers/pdfs/truthfulqa/2026_reducing_hallucinations_in_llms_via_factuality_aware_preference_learning.pdf
truthfulqa,ROAST: Rollout-based On-distribution Activation Steering,2026,arXiv,"Qwen3-0.6B, GLM4-32B",+12.1% on TruthfulQA for GLM4-32B,https://arxiv.org/abs/2602.14143,https://arxiv.org/pdf/2602.14143,research/dataset_papers/pdfs/truthfulqa/2026_roast_rollout_based_on_distribution_activation_steering.pdf
truthfulqa,A Geometric Taxonomy of Hallucinations in LLMs,2026,arXiv,Various models,Logistic Regression AUROC 0.731 on TruthfulQA,https://arxiv.org/abs/2602.13224,https://arxiv.org/pdf/2602.13224,research/dataset_papers/pdfs/truthfulqa/2026_a_geometric_taxonomy_of_hallucinations_in_llms.pdf
truthfulqa,EdgeJury: Cross-Reviewed Small-Model Ensembles,2026,arXiv,8B baseline ensemble,"MC1: 76.2% (95% CI 72.8-79.6%), +21.4% relative improvement",https://arxiv.org/abs/2601.00850,https://arxiv.org/pdf/2601.00850,research/dataset_papers/pdfs/truthfulqa/2026_edgejury_cross_reviewed_small_model_ensembles.pdf
livebench,"**LiveBench: A Challenging, Contamination-Limited LLM Benchmark**",2025,ICLR 2025 (Spotlight),"Multiple models (0.5B–405B); GPT-4o, Claude, Llama, Qwen, etc.","Top models achieve <70% accuracy across 6 categories (reasoning, math, coding, language, data analysis, instruction following)",https://github.com/LiveBench/LiveBench,https://arxiv.org/pdf/2406.19314,research/dataset_papers/pdfs/livebench/2025_livebench_a_challenging_contamination_limited_llm_benchmark.pdf
livebench,**Certainty Robustness: Evaluating LLM stability under self-challenging prompts**,2026,arXiv,"GPT-4, Claude-3.5-Sonnet, Deepseek-R1, Qwen",Two-turn evaluation on 200 LiveBench reasoning/math questions; models vary in resistance to conversational pressure,https://arxiv.org/abs/2603.03330,https://arxiv.org/pdf/2603.03330,research/dataset_papers/pdfs/livebench/2026_certainty_robustness_evaluating_llm_stability_under_self_challenging_prompts.pdf
livebench,**CodeAlignBench: Assessing Code Generation Models on Developer-Preferred Code Adjustments**,2025,arXiv (Oct 2025),Multiple code generation models,Models show varying performance across instruction-following dimensions; translated LiveBench coding tasks into Java/JavaScript,https://arxiv.org/abs/2510.27565,https://arxiv.org/pdf/2510.27565,research/dataset_papers/pdfs/livebench/2025_codealignbench_assessing_code_generation_models_on_developer_preferred_code_adjustmen.pdf
livebench,**TICKing All the Boxes: Generated Checklists Improve LLM Evaluation and Generation**,2024,arXiv (Oct 2024),"Multiple LLMs (GPT-4, Claude, etc.)",STICK self-refinement on LiveBench reasoning: +7.8% absolute gain; Best-of-N selection: +6.3% on WildBench,https://arxiv.org/abs/2410.03608,https://arxiv.org/pdf/2410.03608,research/dataset_papers/pdfs/livebench/2024_ticking_all_the_boxes_generated_checklists_improve_llm_evaluation_and_generation.pdf
livebench,**LMMs-Eval: Reality Check on the Evaluation of Large Multimodal Models** (includes Multimodal LiveBench),2024–2025,"arXiv (July 2024, v2 May 2025); NAACL 2025 Findings","10+ multimodal models (GPT-4V, Claude-Vision, Gemini, etc.)",Comprehensive evaluation across 50+ tasks; Multimodal LiveBench uses continuously-updated news/forums for zero-contamination assessment,https://arxiv.org/abs/2407.12772,https://arxiv.org/pdf/2407.12772,research/dataset_papers/pdfs/livebench/2024_2025_lmms_eval_reality_check_on_the_evaluation_of_large_multimodal_models_includes_mu.pdf
ai2_arc,"Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge",2018,arXiv,"Multiple Baselines (Decomposable Attention, DGEM)",Not significantly above random,https://arxiv.org/abs/1803.05457,https://arxiv.org/pdf/1803.05457,research/dataset_papers/pdfs/ai2_arc/2018_think_you_have_solved_question_answering_try_arc_the_ai2_reasoning_challenge.pdf
ai2_arc,FreeLB: Enhanced Adversarial Training for Natural Language Understanding,2019,arXiv,BERT-base / RoBERTa-large with FreeLB,ARC-Easy: 85.44% / ARC-Challenge: 67.75%,https://arxiv.org/abs/1909.11764,https://arxiv.org/pdf/1909.11764,research/dataset_papers/pdfs/ai2_arc/2019_freelb_enhanced_adversarial_training_for_natural_language_understanding.pdf
ai2_arc,UNIFIEDQA: Crossing Format Boundaries with a Single QA System,2020,EMNLP 2020 Findings,UnifiedQA (T5-based),Strong performance across 19 QA datasets,https://aclanthology.org/2020.findings-emnlp.171/,https://aclanthology.org/2020.findings-emnlp.171.pdf,research/dataset_papers/pdfs/ai2_arc/2020_unifiedqa_crossing_format_boundaries_with_a_single_qa_system.pdf
ai2_arc,Think you have Solved Direct-Answer Question Answering? Try ARC-DA,2021,arXiv,UnifiedQA + ARC-DA/MC model,ARC-Challenge: 81.4% / ARC-Easy: 92.7% (on MC converted from DA format),https://arxiv.org/abs/2102.03315,https://arxiv.org/pdf/2102.03315,research/dataset_papers/pdfs/ai2_arc/2021_think_you_have_solved_direct_answer_question_answering_try_arc_da.pdf
ai2_arc,The ConceptARC Benchmark: Evaluating Understanding and Generalization in the ARC Domain,2023,TMLR / arXiv,"Human baseline vs GPT-4, ARC-Kaggle winners",Humans substantially outperform all machine solvers,https://arxiv.org/abs/2305.07141,https://arxiv.org/pdf/2305.07141,research/dataset_papers/pdfs/ai2_arc/2023_the_conceptarc_benchmark_evaluating_understanding_and_generalization_in_the_arc_domai.pdf
ai2_arc,ARC Prize 2024: Technical Report,2024,arXiv,Multiple competition entries,55.5% on ARC-AGI private eval (improved from 33%),https://arxiv.org/abs/2412.04604,https://arxiv.org/pdf/2412.04604,research/dataset_papers/pdfs/ai2_arc/2024_arc_prize_2024_technical_report.pdf
room_assignment_related,Pencil Puzzle Bench: A Benchmark for Multi-Step Verifiable Reasoning,2026,arXiv:2603.02119,"GPT-5.2, Claude Opus 4.6, Claude Sonnet, Llama models, OpenAI, Anthropic",GPT-5.2: 81x improvement with reasoning effort; Claude Opus 4.6: 0.3% to 30.0% with iterative verification; GPT-5.2 max effort: 20.2% to 56.0%,https://arxiv.org/abs/2603.02119,https://arxiv.org/pdf/2603.02119,research/dataset_papers/pdfs/room_assignment_related/2026_pencil_puzzle_bench_a_benchmark_for_multi_step_verifiable_reasoning.pdf
room_assignment_related,Logic.py: Bridging the Gap between LLMs and Constraint Solvers,2025,arXiv:2502.15776,"Llama 3.1 70B, constraint solvers",65% absolute improvement: baseline to 90%+ accuracy on ZebraLogicBench via LLM formalization + constraint solver,https://arxiv.org/abs/2502.15776,https://arxiv.org/pdf/2502.15776,research/dataset_papers/pdfs/room_assignment_related/2025_logic_py_bridging_the_gap_between_llms_and_constraint_solvers.pdf
room_assignment_related,SATBench: Benchmarking LLMs' Logical Reasoning via Automated Puzzle Generation from SAT Formulas,2025,arXiv:2505.14615,"o4-mini, GPT-4, Claude, Llama models","o4-mini: 65% on hard UNSAT, near 50% random baseline; systematic failures in satisfiability bias, context inconsistency",https://arxiv.org/abs/2505.14615,https://arxiv.org/pdf/2505.14615,research/dataset_papers/pdfs/room_assignment_related/2025_satbench_benchmarking_llms_logical_reasoning_via_automated_puzzle_generation_from_sat.pdf
