dataset,title,year,venue_or_source,model_or_system,reported_results,setup_notes,source_url,pdf_url,normalized_pdf_url,download_status,local_pdf_path
truthfulqa,TruthfulQA: Measuring How Models Mimic Human Falsehoods,2022,ACL 2022 (Long Papers),"GPT-3 175B, GPT-J, GPT-2, T5","GPT-3: 20.44% (truthfulness), 97.55% (MC2); GPT-J 6B: 26.68%; T5-3B: 47.79%",817 questions across 38 categories,https://aclanthology.org/2022.acl-long.229/,https://aclanthology.org/2022.acl-long.229.pdf,https://aclanthology.org/2022.acl-long.229.pdf,downloaded,research/dataset_papers/pdfs/truthfulqa/2022_truthfulqa_measuring_how_models_mimic_human_falsehoods.pdf
truthfulqa,Quantized but Deceptive? A Multi-Dimensional Truthfulness Evaluation of Quantized LLMs,2025,EMNLP 2025 Main,Various quantized LLMs,Explicit MC1/MC2 results for quantized models,TruthfulQA with standard protocol,https://aclanthology.org/2025.emnlp-main.1548/,https://aclanthology.org/2025.emnlp-main.1548.pdf,https://aclanthology.org/2025.emnlp-main.1548.pdf,downloaded,research/dataset_papers/pdfs/truthfulqa/2025_quantized_but_deceptive_a_multi_dimensional_truthfulness_evaluation_of_quantized_llms.pdf
truthfulqa,Reducing Hallucinations in LLMs via Factuality-Aware Preference Learning,2026,arXiv,Qwen2.5-14B,"+17% MC1 (0.500→0.585), +49% MC2 (0.357→0.531)",F-DPO method evaluation,https://arxiv.org/abs/2601.03027,https://arxiv.org/pdf/2601.03027,https://arxiv.org/pdf/2601.03027,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_reducing_hallucinations_in_llms_via_factuality_aware_preference_learning.pdf
truthfulqa,The Silicon Mirror: Dynamic Behavioral Gating for Anti-Sycophancy in LLM Agents,2026,arXiv,Claude Sonnet 4,"Sycophancy on 50 TruthfulQA scenarios: 12.0% vanilla, 4.0% guardrails",Adversarial evaluation subset,https://arxiv.org/abs/2604.00478,https://arxiv.org/pdf/2604.00478,https://arxiv.org/pdf/2604.00478,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_the_silicon_mirror_dynamic_behavioral_gating_for_anti_sycophancy_in_llm_agents.pdf
truthfulqa,An Isotropic Approach to Efficient Uncertainty Quantification with Gradient Norms,2026,arXiv,Various models,Highest mean AUROC on TruthfulQA for combined uncertainty estimates,Benchmark-dependent divergence analysis,https://arxiv.org/abs/2603.29466,https://arxiv.org/pdf/2603.29466,https://arxiv.org/pdf/2603.29466,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_an_isotropic_approach_to_efficient_uncertainty_quantification_with_gradient_norms.pdf
truthfulqa,Rethinking Atomic Decomposition for LLM Judges,2026,arXiv,Multiple model families,Paired tests on 200 TruthfulQA examples,Holistic vs. decompose-and-verify evaluation,https://arxiv.org/abs/2603.28005,https://arxiv.org/pdf/2603.28005,https://arxiv.org/pdf/2603.28005,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_rethinking_atomic_decomposition_for_llm_judges.pdf
truthfulqa,The Alignment Tax: Response Homogenization in Aligned LLMs,2026,arXiv,RLHF-aligned models,40-79% single semantic cluster on TruthfulQA (n=790); AUROC: 0.603,Uncertainty estimation analysis,https://arxiv.org/abs/2603.24124,https://arxiv.org/pdf/2603.24124,https://arxiv.org/pdf/2603.24124,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_the_alignment_tax_response_homogenization_in_aligned_llms.pdf
truthfulqa,DiscoUQ: Structured Disagreement Analysis for Uncertainty Quantification in LLM Agent Ensembles,2026,arXiv,Qwen3.5-27B (5-agent system),Average AUROC 0.802 on TruthfulQA,Multi-benchmark evaluation,https://arxiv.org/abs/2603.20975,https://arxiv.org/pdf/2603.20975,https://arxiv.org/pdf/2603.20975,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_discouq_structured_disagreement_analysis_for_uncertainty_quantification_in_llm_agent_.pdf
truthfulqa,Thinking in Different Spaces: Domain-Specific Latent Geometry,2026,arXiv,Multiple models,14.0-50.0% behavioral correction on TruthfulQA (mean 25.2%),Cross-architecture translation,https://arxiv.org/abs/2603.20406,https://arxiv.org/pdf/2603.20406,https://arxiv.org/pdf/2603.20406,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_thinking_in_different_spaces_domain_specific_latent_geometry.pdf
truthfulqa,Mitigating LLM Hallucinations through Domain-Grounded Tiered Retrieval,2026,arXiv,Various models,78.0% win rate in TruthfulQA subset,Atomic claim-level verification,https://arxiv.org/abs/2603.17872,https://arxiv.org/pdf/2603.17872,https://arxiv.org/pdf/2603.17872,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_mitigating_llm_hallucinations_through_domain_grounded_tiered_retrieval.pdf
truthfulqa,Adaptive Activation Cancellation for Hallucination Mitigation,2026,arXiv,"OPT-125M, Phi-3, Llama 3-8B",Consistent improvement across all scales,Real-time hook intervention,https://arxiv.org/abs/2603.10195,https://arxiv.org/pdf/2603.10195,https://arxiv.org/pdf/2603.10195,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_adaptive_activation_cancellation_for_hallucination_mitigation.pdf
truthfulqa,Thought Virus: Viral Misalignment via Subliminal Prompting,2026,arXiv,Multi-agent systems,Elevated response rate degradation on multiple-choice TruthfulQA,Subliminal prompting attack vector,https://arxiv.org/abs/2603.00131,https://arxiv.org/pdf/2603.00131,https://arxiv.org/pdf/2603.00131,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_thought_virus_viral_misalignment_via_subliminal_prompting.pdf
truthfulqa,Black-Box Reliability Certification for AI Agents,2026,arXiv,"GPT-4.1, GPT-4.1-nano",GPT-4.1: 96.8% on TruthfulQA,Self-consistency sampling approach,https://arxiv.org/abs/2602.21368,https://arxiv.org/pdf/2602.21368,https://arxiv.org/pdf/2602.21368,downloaded,research/dataset_papers/pdfs/truthfulqa/2026_black_box_reliability_certification_for_ai_agents.pdf
